method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,54,675,"{""title"":""Test Book 1_86"",""author"":""Test Author 1_86""}"
GET,/api/books/87,200,0,87,
PUT,/api/books/87,200,70,810,"{""title"":""Updated Test Book 1_86"",""author"":""Updated Test Author 1_86""}"
DELETE,/api/books/87,200,0,4564,
POST,/api/books,200,54,682,"{""title"":""Test Book 1_87"",""author"":""Test Author 1_87""}"
GET,/api/books/88,200,0,94,
PUT,/api/books/88,200,70,1269,"{""title"":""Updated Test Book 1_87"",""author"":""Updated Test Author 1_87""}"
DELETE,/api/books/88,200,0,842,
POST,/api/books,200,54,644,"{""title"":""Test Book 1_88"",""author"":""Test Author 1_88""}"
GET,/api/books/89,200,0,87,
PUT,/api/books/89,200,70,1284,"{""title"":""Updated Test Book 1_88"",""author"":""Updated Test Author 1_88""}"
DELETE,/api/books/89,200,0,3443,
POST,/api/books,200,54,1101,"{""title"":""Test Book 1_89"",""author"":""Test Author 1_89""}"
GET,/api/books/90,200,0,87,
PUT,/api/books/90,200,70,837,"{""title"":""Updated Test Book 1_89"",""author"":""Updated Test Author 1_89""}"
DELETE,/api/books/90,200,0,786,
